Sample_ID,Experimental_group,taxa,RA,cycle,animal
246.1.08,Mock,Enterococcus,0.9,1,246
246.1.08,Mock,Erysipelotrichacea_PSB-M-3,0.22,1,246
246.1.08,Mock,Escherichia,0,1,246
246.1.08,Mock,Facklamia,13.07,1,246
246.1.08,Mock,Helcococcus,0.76,1,246
246.1.08,Mock,Other,3.2,1,246
246.1.08,Mock,Peptococcus,0.4,1,246
246.1.08,Mock,Peptoniphilus,3.24,1,246
246.1.08,Mock,Porphyromonadaceae.Family.,0.05,1,246
246.1.08,Mock,Porphyromonas,0.91,1,246
246.1.08,Mock,Proteus,0.03,1,246
246.1.08,Mock,Ruminococcaceae.Family.,0.34,1,246
246.1.08,Mock,Rummeliibacillus,0.14,1,246
246.1.08,Mock,Solibacillus,0.03,1,246
246.1.08,Mock,Staphylococcus,2.01,1,246
246.1.08,Mock,Streptococcaceae.Family.,0,1,246
246.1.08,Mock,Weissella,0.06,1,246
246.1.11,Mock,Acinetobacter,1.05,1,246
246.1.11,Mock,Actinomyces,3.14,1,246
246.1.11,Mock,Actinomycetales.Order.,2.46,1,246
246.1.11,Mock,Aerococcaceae(Family),1.3,1,246
246.1.11,Mock,Aerococcus,14.21,1,246
246.1.11,Mock,Allobaculum,3.08,1,246
246.1.11,Mock,Anaerococcus,4.28,1,246
246.1.11,Mock,Arcanobacterium,1.12,1,246
246.1.11,Mock,Bacteroidales_S24-7(Family),0.61,1,246
246.1.11,Mock,Chlamydia,0,1,246
246.1.11,Mock,Clostridiaceae.otu1,0.46,1,246
246.1.11,Mock,Clostridiaceae(Family),6.13,1,246
246.1.11,Mock,Corynebacterium,31.81,1,246
246.1.11,Mock,Enterococcus,0.73,1,246
246.1.11,Mock,Erysipelotrichacea_PSB-M-3,0.21,1,246
246.1.11,Mock,Escherichia,0,1,246
246.1.11,Mock,Facklamia,4.83,1,246
246.1.11,Mock,Helcococcus,0.34,1,246
246.1.11,Mock,Other,9.2,1,246
246.1.11,Mock,Peptococcus,0.3,1,246
246.1.11,Mock,Peptoniphilus,2.87,1,246
246.1.11,Mock,Porphyromonadaceae.Family.,0.53,1,246
246.1.11,Mock,Porphyromonas,7.46,1,246
246.1.11,Mock,Proteus,0.04,1,246
246.1.11,Mock,Ruminococcaceae.Family.,0.69,1,246
246.1.11,Mock,Rummeliibacillus,0.32,1,246
246.1.11,Mock,Solibacillus,2.17,1,246
246.1.11,Mock,Staphylococcus,0.55,1,246
246.1.11,Mock,Streptococcaceae.Family.,0,1,246
246.1.11,Mock,Weissella,0.07,1,246
246.1.14,Mock,Acinetobacter,0.72,1,246
246.1.14,Mock,Actinomyces,2.97,1,246
246.1.14,Mock,Actinomycetales.Order.,0.58,1,246
246.1.14,Mock,Aerococcaceae(Family),2.63,1,246
246.1.14,Mock,Aerococcus,4.23,1,246
246.1.14,Mock,Allobaculum,2.53,1,246
246.1.14,Mock,Anaerococcus,6.83,1,246
246.1.14,Mock,Arcanobacterium,1.43,1,246
246.1.14,Mock,Bacteroidales_S24-7(Family),0.31,1,246
246.1.14,Mock,Chlamydia,0,1,246
246.1.14,Mock,Clostridiaceae.otu1,0.44,1,246
246.1.14,Mock,Clostridiaceae(Family),10.62,1,246
246.1.14,Mock,Corynebacterium,38.24,1,246
246.1.14,Mock,Enterococcus,1.98,1,246
246.1.14,Mock,Erysipelotrichacea_PSB-M-3,0.41,1,246
246.1.14,Mock,Escherichia,0,1,246
246.1.14,Mock,Facklamia,6.35,1,246
246.1.14,Mock,Helcococcus,0.55,1,246
246.1.14,Mock,Other,5.6,1,246
246.1.14,Mock,Peptococcus,0.2,1,246
246.1.14,Mock,Peptoniphilus,7.58,1,246
246.1.14,Mock,Porphyromonadaceae.Family.,0.38,1,246
246.1.14,Mock,Porphyromonas,2.7,1,246
246.1.14,Mock,Proteus,0.03,1,246
246.1.14,Mock,Ruminococcaceae.Family.,0.2,1,246
246.1.14,Mock,Rummeliibacillus,0.72,1,246
246.1.14,Mock,Solibacillus,0.96,1,246
246.1.14,Mock,Staphylococcus,0.72,1,246
246.1.14,Mock,Streptococcaceae.Family.,0,1,246
246.1.14,Mock,Weissella,0.03,1,246
246.1.16,Mock,Acinetobacter,1.42,1,246
246.1.16,Mock,Actinomyces,3.2,1,246
246.1.16,Mock,Actinomycetales.Order.,2.33,1,246
246.1.16,Mock,Aerococcaceae(Family),0.31,1,246
246.1.16,Mock,Aerococcus,1.9,1,246
246.1.16,Mock,Allobaculum,1.35,1,246
246.1.16,Mock,Anaerococcus,9.21,1,246
246.1.16,Mock,Arcanobacterium,0.79,1,246
246.1.16,Mock,Bacteroidales_S24-7(Family),0.02,1,246
246.1.16,Mock,Chlamydia,0,1,246
246.1.16,Mock,Clostridiaceae.otu1,1.15,1,246
246.1.16,Mock,Clostridiaceae(Family),8.32,1,246
246.1.16,Mock,Corynebacterium,49.29,1,246
246.1.16,Mock,Enterococcus,2.09,1,246
246.1.16,Mock,Erysipelotrichacea_PSB-M-3,0.34,1,246
246.1.16,Mock,Escherichia,0,1,246
246.1.16,Mock,Facklamia,2.31,1,246
246.1.16,Mock,Helcococcus,0.6,1,246
246.1.16,Mock,Other,8,1,246
246.1.16,Mock,Peptococcus,0.2,1,246
246.1.16,Mock,Peptoniphilus,2.45,1,246
246.1.16,Mock,Porphyromonadaceae.Family.,0.43,1,246
246.1.16,Mock,Porphyromonas,3.27,1,246
246.1.16,Mock,Proteus,0,1,246
246.1.16,Mock,Ruminococcaceae.Family.,0,1,246
246.1.16,Mock,Rummeliibacillus,0.63,1,246
246.1.16,Mock,Solibacillus,0.17,1,246
246.1.16,Mock,Staphylococcus,0.17,1,246
246.1.16,Mock,Streptococcaceae.Family.,0.02,1,246
246.1.16,Mock,Weissella,0,1,246
246.2.02,Mock,Acinetobacter,3.75,2,246
246.2.02,Mock,Actinomyces,4.76,2,246
246.2.02,Mock,Actinomycetales.Order.,0.49,2,246
246.2.02,Mock,Aerococcaceae(Family),1.72,2,246
246.2.02,Mock,Aerococcus,5.27,2,246
246.2.02,Mock,Allobaculum,4.99,2,246
246.2.02,Mock,Anaerococcus,10.51,2,246
246.2.02,Mock,Arcanobacterium,2.09,2,246
246.2.02,Mock,Bacteroidales_S24-7(Family),0.49,2,246
246.2.02,Mock,Chlamydia,0,2,246
246.2.02,Mock,Clostridiaceae.otu1,0.79,2,246
246.2.02,Mock,Clostridiaceae(Family),7.06,2,246
246.2.02,Mock,Corynebacterium,25.91,2,246
246.2.02,Mock,Enterococcus,2.35,2,246
246.2.02,Mock,Erysipelotrichacea_PSB-M-3,2.05,2,246
246.2.02,Mock,Escherichia,0.23,2,246
246.2.02,Mock,Facklamia,4.01,2,246
246.2.02,Mock,Helcococcus,0.75,2,246
246.2.02,Mock,Other,8.1,2,246
246.2.02,Mock,Peptococcus,0.4,2,246
246.2.02,Mock,Peptoniphilus,4.45,2,246
246.2.02,Mock,Porphyromonadaceae.Family.,0.63,2,246
246.2.02,Mock,Porphyromonas,5.64,2,246
246.2.02,Mock,Proteus,0.02,2,246
246.2.02,Mock,Ruminococcaceae.Family.,0.3,2,246
246.2.02,Mock,Rummeliibacillus,0.4,2,246
246.2.02,Mock,Solibacillus,0.72,2,246
246.2.02,Mock,Staphylococcus,1.58,2,246
246.2.02,Mock,Streptococcaceae.Family.,0.07,2,246
246.2.02,Mock,Weissella,0.44,2,246
246.2.05,Mock,Acinetobacter,3.34,2,246
246.2.05,Mock,Actinomyces,1.69,2,246
246.2.05,Mock,Actinomycetales.Order.,1.72,2,246
246.2.05,Mock,Aerococcaceae(Family),0.79,2,246
246.2.05,Mock,Aerococcus,4.87,2,246
246.2.05,Mock,Allobaculum,3.05,2,246
246.2.05,Mock,Anaerococcus,3.01,2,246
246.2.05,Mock,Arcanobacterium,1.19,2,246
246.2.05,Mock,Bacteroidales_S24-7(Family),0.63,2,246
246.2.05,Mock,Chlamydia,0,2,246
246.2.05,Mock,Clostridiaceae.otu1,0.56,2,246
246.2.05,Mock,Clostridiaceae(Family),7.41,2,246
246.2.05,Mock,Corynebacterium,39.89,2,246
246.2.05,Mock,Enterococcus,3.38,2,246
246.2.05,Mock,Erysipelotrichacea_PSB-M-3,0.89,2,246
246.2.05,Mock,Escherichia,0,2,246
246.2.05,Mock,Facklamia,4.1,2,246
246.2.05,Mock,Helcococcus,0.13,2,246
246.2.05,Mock,Other,11.5,2,246
246.2.05,Mock,Peptococcus,0.1,2,246
246.2.05,Mock,Peptoniphilus,2.22,2,246
246.2.05,Mock,Porphyromonadaceae.Family.,0.5,2,246
246.2.05,Mock,Porphyromonas,4.97,2,246
246.2.05,Mock,Proteus,0.03,2,246
246.2.05,Mock,Ruminococcaceae.Family.,0.46,2,246
246.2.05,Mock,Rummeliibacillus,0.33,2,246
246.2.05,Mock,Solibacillus,2.22,2,246
246.2.05,Mock,Staphylococcus,0.76,2,246
246.2.05,Mock,Streptococcaceae.Family.,0,2,246
246.2.05,Mock,Weissella,0.2,2,246
246.2.08,Mock,Acinetobacter,2.21,2,246
246.2.08,Mock,Actinomyces,2.21,2,246
246.2.08,Mock,Actinomycetales.Order.,0.45,2,246
246.2.08,Mock,Aerococcaceae(Family),0.75,2,246
246.2.08,Mock,Aerococcus,6.8,2,246
246.2.08,Mock,Allobaculum,6.28,2,246
246.2.08,Mock,Anaerococcus,5.98,2,246
246.2.08,Mock,Arcanobacterium,1.3,2,246
246.2.08,Mock,Bacteroidales_S24-7(Family),0.86,2,246
246.2.08,Mock,Chlamydia,0,2,246
246.2.08,Mock,Clostridiaceae.otu1,0.52,2,246
246.2.08,Mock,Clostridiaceae(Family),9.77,2,246
246.2.08,Mock,Corynebacterium,31.14,2,246
246.2.08,Mock,Enterococcus,2.21,2,246
246.2.08,Mock,Erysipelotrichacea_PSB-M-3,0.47,2,246
246.2.08,Mock,Escherichia,0,2,246
246.2.08,Mock,Facklamia,2.42,2,246
246.2.08,Mock,Helcococcus,0.25,2,246
246.2.08,Mock,Other,8,2,246
246.2.08,Mock,Peptococcus,0.5,2,246
246.2.08,Mock,Peptoniphilus,8.82,2,246
246.2.08,Mock,Porphyromonadaceae.Family.,0.39,2,246
246.2.08,Mock,Porphyromonas,4.78,2,246
246.2.08,Mock,Proteus,0.01,2,246
246.2.08,Mock,Ruminococcaceae.Family.,0.38,2,246
246.2.08,Mock,Rummeliibacillus,0.5,2,246
246.2.08,Mock,Solibacillus,1.44,2,246
246.2.08,Mock,Staphylococcus,0.92,2,246
246.2.08,Mock,Streptococcaceae.Family.,0,2,246
246.2.08,Mock,Weissella,0.68,2,246
246.2.11,Mock,Acinetobacter,0.99,2,246
246.2.11,Mock,Actinomyces,3.8,2,246
246.2.11,Mock,Actinomycetales.Order.,0.71,2,246
246.2.11,Mock,Aerococcaceae(Family),2.69,2,246
246.2.11,Mock,Aerococcus,13.34,2,246
246.2.11,Mock,Allobaculum,3.32,2,246
246.2.11,Mock,Anaerococcus,2.91,2,246
246.2.11,Mock,Arcanobacterium,1.09,2,246
246.2.11,Mock,Bacteroidales_S24-7(Family),0.66,2,246
246.2.11,Mock,Chlamydia,0,2,246
246.2.11,Mock,Clostridiaceae.otu1,0.71,2,246
246.2.11,Mock,Clostridiaceae(Family),7.21,2,246
246.2.11,Mock,Corynebacterium,32.36,2,246
246.2.11,Mock,Enterococcus,1.16,2,246
246.2.11,Mock,Erysipelotrichacea_PSB-M-3,0.46,2,246
246.2.11,Mock,Escherichia,0,2,246
246.2.11,Mock,Facklamia,5.88,2,246
246.2.11,Mock,Helcococcus,0.41,2,246
246.2.11,Mock,Other,8.8,2,246
246.2.11,Mock,Peptococcus,0.4,2,246
246.2.11,Mock,Peptoniphilus,3.02,2,246
246.2.11,Mock,Porphyromonadaceae.Family.,0.72,2,246
246.2.11,Mock,Porphyromonas,4.86,2,246
246.2.11,Mock,Proteus,0.03,2,246
246.2.11,Mock,Ruminococcaceae.Family.,0.64,2,246
246.2.11,Mock,Rummeliibacillus,0.35,2,246
246.2.11,Mock,Solibacillus,2.67,2,246
246.2.11,Mock,Staphylococcus,0.83,2,246
246.2.11,Mock,Streptococcaceae.Family.,0.02,2,246
246.2.11,Mock,Weissella,0.06,2,246
246.2.14,Mock,Acinetobacter,0.04,2,246
246.2.14,Mock,Actinomyces,0.68,2,246
246.2.14,Mock,Actinomycetales.Order.,0.14,2,246
246.2.14,Mock,Aerococcaceae(Family),0.01,2,246
246.2.14,Mock,Aerococcus,0.39,2,246
246.2.14,Mock,Allobaculum,0.82,2,246
246.2.14,Mock,Anaerococcus,8.54,2,246
246.2.14,Mock,Arcanobacterium,0.37,2,246
246.2.14,Mock,Bacteroidales_S24-7(Family),0.08,2,246
246.2.14,Mock,Chlamydia,0,2,246
246.2.14,Mock,Clostridiaceae.otu1,0.25,2,246
246.2.14,Mock,Clostridiaceae(Family),0.76,2,246
246.2.14,Mock,Corynebacterium,28.2,2,246
246.2.14,Mock,Enterococcus,0.72,2,246
246.2.14,Mock,Erysipelotrichacea_PSB-M-3,0.21,2,246
246.2.14,Mock,Escherichia,0.17,2,246
246.2.14,Mock,Facklamia,0.67,2,246
246.2.14,Mock,Helcococcus,0.28,2,246
246.2.14,Mock,Other,32.8,2,246
246.2.14,Mock,Peptococcus,9.1,2,246
246.2.14,Mock,Peptoniphilus,6.16,2,246
246.2.14,Mock,Porphyromonadaceae.Family.,0.14,2,246
246.2.14,Mock,Porphyromonas,0.75,2,246
246.2.14,Mock,Proteus,8.16,2,246
246.2.14,Mock,Ruminococcaceae.Family.,0.04,2,246
246.2.14,Mock,Rummeliibacillus,0,2,246
246.2.14,Mock,Solibacillus,0.1,2,246
246.2.14,Mock,Staphylococcus,0.26,2,246
246.2.14,Mock,Streptococcaceae.Family.,0.15,2,246
246.2.14,Mock,Weissella,0,2,246
246.2.16,Mock,Acinetobacter,0.2,2,246
246.2.16,Mock,Actinomyces,2.26,2,246
246.2.16,Mock,Actinomycetales.Order.,0.4,2,246
246.2.16,Mock,Aerococcaceae(Family),2.33,2,246
246.2.16,Mock,Aerococcus,1.3,2,246
246.2.16,Mock,Allobaculum,2.78,2,246
246.2.16,Mock,Anaerococcus,9.53,2,246
246.2.16,Mock,Arcanobacterium,2.16,2,246
246.2.16,Mock,Bacteroidales_S24-7(Family),0.48,2,246
246.2.16,Mock,Chlamydia,0,2,246
246.2.16,Mock,Clostridiaceae.otu1,0.62,2,246
246.2.16,Mock,Clostridiaceae(Family),3.6,2,246
246.2.16,Mock,Corynebacterium,23.09,2,246
246.2.16,Mock,Enterococcus,0.79,2,246
246.2.16,Mock,Erysipelotrichacea_PSB-M-3,0.6,2,246
246.2.16,Mock,Escherichia,0.82,2,246
246.2.16,Mock,Facklamia,3.18,2,246
246.2.16,Mock,Helcococcus,0.99,2,246
246.2.16,Mock,Other,23.4,2,246
246.2.16,Mock,Peptococcus,1.6,2,246
246.2.16,Mock,Peptoniphilus,9.59,2,246
246.2.16,Mock,Porphyromonadaceae.Family.,0.23,2,246
246.2.16,Mock,Porphyromonas,1.79,2,246
246.2.16,Mock,Proteus,6.66,2,246
246.2.16,Mock,Ruminococcaceae.Family.,0.09,2,246
246.2.16,Mock,Rummeliibacillus,0.09,2,246
246.2.16,Mock,Solibacillus,0.37,2,246
246.2.16,Mock,Staphylococcus,0.82,2,246
246.2.16,Mock,Streptococcaceae.Family.,0.14,2,246
246.2.16,Mock,Weissella,0.06,2,246
247.1.02,Mock,Acinetobacter,3.15,1,247
247.1.02,Mock,Actinomyces,3.81,1,247
247.1.02,Mock,Actinomycetales.Order.,0.85,1,247
247.1.02,Mock,Aerococcaceae(Family),1.41,1,247
247.1.02,Mock,Aerococcus,12.62,1,247
247.1.02,Mock,Allobaculum,0.83,1,247
247.1.02,Mock,Anaerococcus,5.87,1,247
247.1.02,Mock,Arcanobacterium,2.83,1,247
247.1.02,Mock,Bacteroidales_S24-7(Family),0.7,1,247
247.1.02,Mock,Chlamydia,0,1,247
247.1.02,Mock,Clostridiaceae.otu1,0.61,1,247
247.1.02,Mock,Clostridiaceae(Family),3.61,1,247
247.1.02,Mock,Corynebacterium,23.78,1,247
247.1.02,Mock,Enterococcus,3.83,1,247
247.1.02,Mock,Erysipelotrichacea_PSB-M-3,0.59,1,247
247.1.02,Mock,Escherichia,0,1,247
247.1.02,Mock,Facklamia,12.34,1,247
247.1.02,Mock,Helcococcus,0.93,1,247
247.1.02,Mock,Other,6.9,1,247
247.1.02,Mock,Peptococcus,0.3,1,247
247.1.02,Mock,Peptoniphilus,3.15,1,247
247.1.02,Mock,Porphyromonadaceae.Family.,0.68,1,247
247.1.02,Mock,Porphyromonas,3.17,1,247
247.1.02,Mock,Proteus,0.32,1,247
247.1.02,Mock,Ruminococcaceae.Family.,0.59,1,247
247.1.02,Mock,Rummeliibacillus,0.77,1,247
247.1.02,Mock,Solibacillus,5.45,1,247
247.1.02,Mock,Staphylococcus,0.84,1,247
247.1.02,Mock,Streptococcaceae.Family.,0.08,1,247
247.1.02,Mock,Weissella,0.04,1,247
247.1.05,Mock,Acinetobacter,0.41,1,247
247.1.05,Mock,Actinomyces,4.2,1,247
247.1.05,Mock,Actinomycetales.Order.,1.33,1,247
247.1.05,Mock,Aerococcaceae(Family),0.52,1,247
247.1.05,Mock,Aerococcus,2.85,1,247
247.1.05,Mock,Allobaculum,2.12,1,247
247.1.05,Mock,Anaerococcus,2.99,1,247
247.1.05,Mock,Arcanobacterium,1.25,1,247
247.1.05,Mock,Bacteroidales_S24-7(Family),0.11,1,247
247.1.05,Mock,Chlamydia,0,1,247
247.1.05,Mock,Clostridiaceae.otu1,0.32,1,247
247.1.05,Mock,Clostridiaceae(Family),6.18,1,247
247.1.05,Mock,Corynebacterium,48.89,1,247
247.1.05,Mock,Enterococcus,2.27,1,247
247.1.05,Mock,Erysipelotrichacea_PSB-M-3,0.52,1,247
247.1.05,Mock,Escherichia,0.86,1,247
247.1.05,Mock,Facklamia,3.44,1,247
247.1.05,Mock,Helcococcus,0.2,1,247
247.1.05,Mock,Other,8.5,1,247
247.1.05,Mock,Peptococcus,0.3,1,247
247.1.05,Mock,Peptoniphilus,2.83,1,247
247.1.05,Mock,Porphyromonadaceae.Family.,0.5,1,247
247.1.05,Mock,Porphyromonas,1.64,1,247
247.1.05,Mock,Proteus,0.04,1,247
247.1.05,Mock,Ruminococcaceae.Family.,0.16,1,247
247.1.05,Mock,Rummeliibacillus,0.43,1,247
247.1.05,Mock,Solibacillus,0.18,1,247
247.1.05,Mock,Staphylococcus,6.48,1,247
247.1.05,Mock,Streptococcaceae.Family.,0.02,1,247
247.1.05,Mock,Weissella,0.43,1,247
247.1.08,Mock,Acinetobacter,0.15,1,247
247.1.08,Mock,Actinomyces,1.79,1,247
247.1.08,Mock,Actinomycetales.Order.,0.46,1,247
247.1.08,Mock,Aerococcaceae(Family),1.31,1,247
247.1.08,Mock,Aerococcus,18.23,1,247
247.1.08,Mock,Allobaculum,6.63,1,247
247.1.08,Mock,Anaerococcus,4.5,1,247
247.1.08,Mock,Arcanobacterium,0.94,1,247
247.1.08,Mock,Bacteroidales_S24-7(Family),1.07,1,247
247.1.08,Mock,Chlamydia,0,1,247
247.1.08,Mock,Clostridiaceae.otu1,0.6,1,247
247.1.08,Mock,Clostridiaceae(Family),8.16,1,247
247.1.08,Mock,Corynebacterium,29.39,1,247
247.1.08,Mock,Enterococcus,0.55,1,247
247.1.08,Mock,Erysipelotrichacea_PSB-M-3,0.69,1,247
247.1.08,Mock,Escherichia,0,1,247
247.1.08,Mock,Facklamia,5.22,1,247
247.1.08,Mock,Helcococcus,0.55,1,247
247.1.08,Mock,Other,6.6,1,247
247.1.08,Mock,Peptococcus,0.4,1,247
247.1.08,Mock,Peptoniphilus,4.75,1,247
247.1.08,Mock,Porphyromonadaceae.Family.,0.42,1,247
247.1.08,Mock,Porphyromonas,3.98,1,247
247.1.08,Mock,Proteus,0.01,1,247
247.1.08,Mock,Ruminococcaceae.Family.,1.01,1,247
247.1.08,Mock,Rummeliibacillus,0.21,1,247
247.1.08,Mock,Solibacillus,1.3,1,247
247.1.08,Mock,Staphylococcus,1.01,1,247
247.1.08,Mock,Streptococcaceae.Family.,0.01,1,247
247.1.08,Mock,Weissella,0,1,247
247.1.11,Mock,Acinetobacter,6.89,1,247
247.1.11,Mock,Actinomyces,0.62,1,247
247.1.11,Mock,Actinomycetales.Order.,0.57,1,247
247.1.11,Mock,Aerococcaceae(Family),0.17,1,247
247.1.11,Mock,Aerococcus,6.91,1,247
247.1.11,Mock,Allobaculum,9.53,1,247
247.1.11,Mock,Anaerococcus,3.25,1,247
247.1.11,Mock,Arcanobacterium,0.51,1,247
247.1.11,Mock,Bacteroidales_S24-7(Family),1.61,1,247
247.1.11,Mock,Chlamydia,0,1,247
247.1.11,Mock,Clostridiaceae.otu1,0.17,1,247
247.1.11,Mock,Clostridiaceae(Family),1.13,1,247
247.1.11,Mock,Corynebacterium,12.54,1,247
247.1.11,Mock,Enterococcus,26.94,1,247
247.1.11,Mock,Erysipelotrichacea_PSB-M-3,0.1,1,247
247.1.11,Mock,Escherichia,0.01,1,247
247.1.11,Mock,Facklamia,3.75,1,247
247.1.11,Mock,Helcococcus,0.26,1,247
247.1.11,Mock,Other,10.4,1,247
247.1.11,Mock,Peptococcus,0.3,1,247
247.1.11,Mock,Peptoniphilus,2.59,1,247
247.1.11,Mock,Porphyromonadaceae.Family.,0.39,1,247
247.1.11,Mock,Porphyromonas,1.86,1,247
247.1.11,Mock,Proteus,0.02,1,247
247.1.11,Mock,Ruminococcaceae.Family.,0.64,1,247
247.1.11,Mock,Rummeliibacillus,3.67,1,247
247.1.11,Mock,Solibacillus,4.23,1,247
247.1.11,Mock,Staphylococcus,0.89,1,247
247.1.11,Mock,Streptococcaceae.Family.,0.04,1,247
247.1.11,Mock,Weissella,0.03,1,247
247.1.14,Mock,Acinetobacter,4.73,1,247
247.1.14,Mock,Actinomyces,0.74,1,247
247.1.14,Mock,Actinomycetales.Order.,0.09,1,247
247.1.14,Mock,Aerococcaceae(Family),1.95,1,247
247.1.14,Mock,Aerococcus,20.28,1,247
247.1.14,Mock,Allobaculum,6.68,1,247
247.1.14,Mock,Anaerococcus,1.04,1,247
247.1.14,Mock,Arcanobacterium,0.3,1,247
247.1.14,Mock,Bacteroidales_S24-7(Family),1.37,1,247
247.1.14,Mock,Chlamydia,0,1,247
247.1.14,Mock,Clostridiaceae.otu1,0.26,1,247
247.1.14,Mock,Clostridiaceae(Family),3.04,1,247
247.1.14,Mock,Corynebacterium,14.85,1,247
247.1.14,Mock,Enterococcus,0.35,1,247
247.1.14,Mock,Erysipelotrichacea_PSB-M-3,0.49,1,247
247.1.14,Mock,Escherichia,0,1,247
247.1.14,Mock,Facklamia,5.73,1,247
247.1.14,Mock,Helcococcus,0.05,1,247
247.1.14,Mock,Other,9.8,1,247
247.1.14,Mock,Peptococcus,0.1,1,247
247.1.14,Mock,Peptoniphilus,1.16,1,247
247.1.14,Mock,Porphyromonadaceae.Family.,0.67,1,247
247.1.14,Mock,Porphyromonas,1.14,1,247
247.1.14,Mock,Proteus,0,1,247
247.1.14,Mock,Ruminococcaceae.Family.,1.51,1,247
247.1.14,Mock,Rummeliibacillus,0.14,1,247
247.1.14,Mock,Solibacillus,23.11,1,247
247.1.14,Mock,Staphylococcus,0.46,1,247
247.1.14,Mock,Streptococcaceae.Family.,0,1,247
247.1.14,Mock,Weissella,0,1,247
247.1.16,Mock,Acinetobacter,7.64,1,247
247.1.16,Mock,Actinomyces,2.28,1,247
247.1.16,Mock,Actinomycetales.Order.,1.87,1,247
247.1.16,Mock,Aerococcaceae(Family),0.44,1,247
247.1.16,Mock,Aerococcus,6.77,1,247
247.1.16,Mock,Allobaculum,15.85,1,247
247.1.16,Mock,Anaerococcus,2.5,1,247
247.1.16,Mock,Arcanobacterium,1.4,1,247
247.1.16,Mock,Bacteroidales_S24-7(Family),2.59,1,247
