Sample_ID,Experimental_group,taxa,RA,cycle,animal
249.1.08,Non-infected,Helcococcus,0.11,1,249
249.1.08,Non-infected,Other,5.4,1,249
249.1.08,Non-infected,Peptococcus,0.7,1,249
249.1.08,Non-infected,Peptoniphilus,14.76,1,249
249.1.08,Non-infected,Porphyromonadaceae.Family.,0.08,1,249
249.1.08,Non-infected,Porphyromonas,1.62,1,249
249.1.08,Non-infected,Proteus,2.35,1,249
249.1.08,Non-infected,Ruminococcaceae.Family.,0.03,1,249
249.1.08,Non-infected,Rummeliibacillus,0.02,1,249
249.1.08,Non-infected,Solibacillus,0.05,1,249
249.1.08,Non-infected,Staphylococcus,11.13,1,249
249.1.08,Non-infected,Streptococcaceae.Family.,0.01,1,249
249.1.08,Non-infected,Weissella,0.01,1,249
249.1.11,Non-infected,Acinetobacter,0.18,1,249
249.1.11,Non-infected,Actinomyces,8.62,1,249
249.1.11,Non-infected,Actinomycetales.Order.,0.38,1,249
249.1.11,Non-infected,Aerococcaceae(Family),3.05,1,249
249.1.11,Non-infected,Aerococcus,3.07,1,249
249.1.11,Non-infected,Allobaculum,1.45,1,249
249.1.11,Non-infected,Anaerococcus,7.92,1,249
249.1.11,Non-infected,Arcanobacterium,1.34,1,249
249.1.11,Non-infected,Bacteroidales_S24-7(Family),0.11,1,249
249.1.11,Non-infected,Chlamydia,0,1,249
249.1.11,Non-infected,Clostridiaceae.otu1,1.68,1,249
249.1.11,Non-infected,Clostridiaceae(Family),15.97,1,249
249.1.11,Non-infected,Corynebacterium,26.9,1,249
249.1.11,Non-infected,Enterococcus,0.7,1,249
249.1.11,Non-infected,Erysipelotrichacea_PSB-M-3,1.49,1,249
249.1.11,Non-infected,Escherichia,0,1,249
249.1.11,Non-infected,Facklamia,4.5,1,249
249.1.11,Non-infected,Helcococcus,0.39,1,249
249.1.11,Non-infected,Other,9.2,1,249
249.1.11,Non-infected,Peptococcus,0.6,1,249
249.1.11,Non-infected,Peptoniphilus,5.7,1,249
249.1.11,Non-infected,Porphyromonadaceae.Family.,0.99,1,249
249.1.11,Non-infected,Porphyromonas,4.32,1,249
249.1.11,Non-infected,Proteus,0.36,1,249
249.1.11,Non-infected,Ruminococcaceae.Family.,0.02,1,249
249.1.11,Non-infected,Rummeliibacillus,0.22,1,249
249.1.11,Non-infected,Solibacillus,0.13,1,249
249.1.11,Non-infected,Staphylococcus,0.65,1,249
249.1.11,Non-infected,Streptococcaceae.Family.,0,1,249
249.1.11,Non-infected,Weissella,0.05,1,249
249.1.14,Non-infected,Acinetobacter,1.56,1,249
249.1.14,Non-infected,Actinomyces,3.07,1,249
249.1.14,Non-infected,Actinomycetales.Order.,0.29,1,249
249.1.14,Non-infected,Aerococcaceae(Family),1.97,1,249
249.1.14,Non-infected,Aerococcus,10.12,1,249
249.1.14,Non-infected,Allobaculum,3.12,1,249
249.1.14,Non-infected,Anaerococcus,8.39,1,249
249.1.14,Non-infected,Arcanobacterium,1.39,1,249
249.1.14,Non-infected,Bacteroidales_S24-7(Family),1.79,1,249
249.1.14,Non-infected,Chlamydia,0,1,249
249.1.14,Non-infected,Clostridiaceae.otu1,0.58,1,249
249.1.14,Non-infected,Clostridiaceae(Family),7.29,1,249
249.1.14,Non-infected,Corynebacterium,11.97,1,249
249.1.14,Non-infected,Enterococcus,2.78,1,249
249.1.14,Non-infected,Erysipelotrichacea_PSB-M-3,0.98,1,249
249.1.14,Non-infected,Escherichia,0,1,249
249.1.14,Non-infected,Facklamia,6.71,1,249
249.1.14,Non-infected,Helcococcus,0.64,1,249
249.1.14,Non-infected,Other,9.9,1,249
249.1.14,Non-infected,Peptococcus,0.5,1,249
249.1.14,Non-infected,Peptoniphilus,8.33,1,249
249.1.14,Non-infected,Porphyromonadaceae.Family.,2.02,1,249
249.1.14,Non-infected,Porphyromonas,4.92,1,249
249.1.14,Non-infected,Proteus,0,1,249
249.1.14,Non-infected,Ruminococcaceae.Family.,1.68,1,249
249.1.14,Non-infected,Rummeliibacillus,0.64,1,249
249.1.14,Non-infected,Solibacillus,1.74,1,249
249.1.14,Non-infected,Staphylococcus,7.46,1,249
249.1.14,Non-infected,Streptococcaceae.Family.,0,1,249
249.1.14,Non-infected,Weissella,0.12,1,249
249.1.16,Non-infected,Acinetobacter,0.38,1,249
249.1.16,Non-infected,Actinomyces,4.35,1,249
249.1.16,Non-infected,Actinomycetales.Order.,0.18,1,249
249.1.16,Non-infected,Aerococcaceae(Family),5.19,1,249
249.1.16,Non-infected,Aerococcus,0.71,1,249
249.1.16,Non-infected,Allobaculum,1.49,1,249
249.1.16,Non-infected,Anaerococcus,14.02,1,249
249.1.16,Non-infected,Arcanobacterium,0.96,1,249
249.1.16,Non-infected,Bacteroidales_S24-7(Family),0.43,1,249
249.1.16,Non-infected,Chlamydia,0,1,249
249.1.16,Non-infected,Clostridiaceae.otu1,1.04,1,249
249.1.16,Non-infected,Clostridiaceae(Family),13.54,1,249
249.1.16,Non-infected,Corynebacterium,14.71,1,249
249.1.16,Non-infected,Enterococcus,0.4,1,249
249.1.16,Non-infected,Erysipelotrichacea_PSB-M-3,0.46,1,249
249.1.16,Non-infected,Escherichia,0.05,1,249
249.1.16,Non-infected,Facklamia,5.64,1,249
249.1.16,Non-infected,Helcococcus,0.46,1,249
249.1.16,Non-infected,Other,9.5,1,249
249.1.16,Non-infected,Peptococcus,0.6,1,249
249.1.16,Non-infected,Peptoniphilus,16.96,1,249
249.1.16,Non-infected,Porphyromonadaceae.Family.,0.81,1,249
249.1.16,Non-infected,Porphyromonas,3.57,1,249
249.1.16,Non-infected,Proteus,0,1,249
249.1.16,Non-infected,Ruminococcaceae.Family.,0.1,1,249
249.1.16,Non-infected,Rummeliibacillus,0,1,249
249.1.16,Non-infected,Solibacillus,0,1,249
249.1.16,Non-infected,Staphylococcus,4.18,1,249
249.1.16,Non-infected,Streptococcaceae.Family.,0.2,1,249
249.1.16,Non-infected,Weissella,0.03,1,249
249.2.02,Non-infected,Acinetobacter,0.06,2,249
249.2.02,Non-infected,Actinomyces,4.68,2,249
249.2.02,Non-infected,Actinomycetales.Order.,1.09,2,249
249.2.02,Non-infected,Aerococcaceae(Family),0.5,2,249
249.2.02,Non-infected,Aerococcus,0.58,2,249
249.2.02,Non-infected,Allobaculum,0.55,2,249
249.2.02,Non-infected,Anaerococcus,15.14,2,249
249.2.02,Non-infected,Arcanobacterium,1.78,2,249
249.2.02,Non-infected,Bacteroidales_S24-7(Family),0.03,2,249
249.2.02,Non-infected,Chlamydia,0,2,249
249.2.02,Non-infected,Clostridiaceae.otu1,2.4,2,249
249.2.02,Non-infected,Clostridiaceae(Family),21.74,2,249
249.2.02,Non-infected,Corynebacterium,14.83,2,249
249.2.02,Non-infected,Enterococcus,0.08,2,249
249.2.02,Non-infected,Erysipelotrichacea_PSB-M-3,0.11,2,249
249.2.02,Non-infected,Escherichia,0.18,2,249
249.2.02,Non-infected,Facklamia,3.15,2,249
249.2.02,Non-infected,Helcococcus,0.23,2,249
249.2.02,Non-infected,Other,4.4,2,249
249.2.02,Non-infected,Peptococcus,1,2,249
249.2.02,Non-infected,Peptoniphilus,23.12,2,249
249.2.02,Non-infected,Porphyromonadaceae.Family.,0.22,2,249
249.2.02,Non-infected,Porphyromonas,3.42,2,249
249.2.02,Non-infected,Proteus,0.28,2,249
249.2.02,Non-infected,Ruminococcaceae.Family.,0.04,2,249
249.2.02,Non-infected,Rummeliibacillus,0.01,2,249
249.2.02,Non-infected,Solibacillus,0.06,2,249
249.2.02,Non-infected,Staphylococcus,0.31,2,249
249.2.02,Non-infected,Streptococcaceae.Family.,0.01,2,249
249.2.02,Non-infected,Weissella,0.01,2,249
249.2.05,Non-infected,Acinetobacter,0.15,2,249
249.2.05,Non-infected,Actinomyces,5.96,2,249
249.2.05,Non-infected,Actinomycetales.Order.,0.21,2,249
249.2.05,Non-infected,Aerococcaceae(Family),0.49,2,249
249.2.05,Non-infected,Aerococcus,3.36,2,249
249.2.05,Non-infected,Allobaculum,2.39,2,249
249.2.05,Non-infected,Anaerococcus,11.74,2,249
249.2.05,Non-infected,Arcanobacterium,1.07,2,249
249.2.05,Non-infected,Bacteroidales_S24-7(Family),0.45,2,249
249.2.05,Non-infected,Chlamydia,0,2,249
249.2.05,Non-infected,Clostridiaceae.otu1,0.52,2,249
249.2.05,Non-infected,Clostridiaceae(Family),16.99,2,249
249.2.05,Non-infected,Corynebacterium,19.88,2,249
249.2.05,Non-infected,Enterococcus,0.17,2,249
249.2.05,Non-infected,Erysipelotrichacea_PSB-M-3,0.5,2,249
249.2.05,Non-infected,Escherichia,0,2,249
249.2.05,Non-infected,Facklamia,2.79,2,249
249.2.05,Non-infected,Helcococcus,0.41,2,249
249.2.05,Non-infected,Other,4.4,2,249
249.2.05,Non-infected,Peptococcus,0.8,2,249
249.2.05,Non-infected,Peptoniphilus,16.74,2,249
249.2.05,Non-infected,Porphyromonadaceae.Family.,0.62,2,249
249.2.05,Non-infected,Porphyromonas,7.07,2,249
249.2.05,Non-infected,Proteus,0.39,2,249
249.2.05,Non-infected,Ruminococcaceae.Family.,0.11,2,249
249.2.05,Non-infected,Rummeliibacillus,0.1,2,249
249.2.05,Non-infected,Solibacillus,0.24,2,249
249.2.05,Non-infected,Staphylococcus,2.43,2,249
249.2.05,Non-infected,Streptococcaceae.Family.,0,2,249
249.2.05,Non-infected,Weissella,0,2,249
249.2.08,Non-infected,Acinetobacter,0.91,2,249
249.2.08,Non-infected,Actinomyces,2.47,2,249
249.2.08,Non-infected,Actinomycetales.Order.,0.14,2,249
249.2.08,Non-infected,Aerococcaceae(Family),1.58,2,249
249.2.08,Non-infected,Aerococcus,6.31,2,249
249.2.08,Non-infected,Allobaculum,10.87,2,249
249.2.08,Non-infected,Anaerococcus,9.77,2,249
249.2.08,Non-infected,Arcanobacterium,1.03,2,249
249.2.08,Non-infected,Bacteroidales_S24-7(Family),0.74,2,249
249.2.08,Non-infected,Chlamydia,0,2,249
249.2.08,Non-infected,Clostridiaceae.otu1,0.48,2,249
249.2.08,Non-infected,Clostridiaceae(Family),6.65,2,249
249.2.08,Non-infected,Corynebacterium,28.93,2,249
249.2.08,Non-infected,Enterococcus,0.14,2,249
249.2.08,Non-infected,Erysipelotrichacea_PSB-M-3,0.88,2,249
249.2.08,Non-infected,Escherichia,0.02,2,249
249.2.08,Non-infected,Facklamia,6.36,2,249
249.2.08,Non-infected,Helcococcus,0.88,2,249
249.2.08,Non-infected,Other,5.6,2,249
249.2.08,Non-infected,Peptococcus,0.3,2,249
249.2.08,Non-infected,Peptoniphilus,7.83,2,249
249.2.08,Non-infected,Porphyromonadaceae.Family.,0.31,2,249
249.2.08,Non-infected,Porphyromonas,1.61,2,249
249.2.08,Non-infected,Proteus,0.61,2,249
249.2.08,Non-infected,Ruminococcaceae.Family.,0.54,2,249
249.2.08,Non-infected,Rummeliibacillus,0.08,2,249
249.2.08,Non-infected,Solibacillus,3.55,2,249
249.2.08,Non-infected,Staphylococcus,1.06,2,249
249.2.08,Non-infected,Streptococcaceae.Family.,0.12,2,249
249.2.08,Non-infected,Weissella,0.25,2,249
249.2.11,Non-infected,Acinetobacter,0.89,2,249
249.2.11,Non-infected,Actinomyces,3.24,2,249
249.2.11,Non-infected,Actinomycetales.Order.,1.13,2,249
249.2.11,Non-infected,Aerococcaceae(Family),0.95,2,249
249.2.11,Non-infected,Aerococcus,2.19,2,249
249.2.11,Non-infected,Allobaculum,1.37,2,249
249.2.11,Non-infected,Anaerococcus,13.22,2,249
249.2.11,Non-infected,Arcanobacterium,1.49,2,249
249.2.11,Non-infected,Bacteroidales_S24-7(Family),0.25,2,249
249.2.11,Non-infected,Chlamydia,0,2,249
249.2.11,Non-infected,Clostridiaceae.otu1,1.18,2,249
249.2.11,Non-infected,Clostridiaceae(Family),14.49,2,249
249.2.11,Non-infected,Corynebacterium,21.99,2,249
249.2.11,Non-infected,Enterococcus,0.1,2,249
249.2.11,Non-infected,Erysipelotrichacea_PSB-M-3,2.32,2,249
249.2.11,Non-infected,Escherichia,0,2,249
249.2.11,Non-infected,Facklamia,7.31,2,249
249.2.11,Non-infected,Helcococcus,2.86,2,249
249.2.11,Non-infected,Other,10.6,2,249
249.2.11,Non-infected,Peptococcus,0.4,2,249
249.2.11,Non-infected,Peptoniphilus,3.46,2,249
249.2.11,Non-infected,Porphyromonadaceae.Family.,1.62,2,249
249.2.11,Non-infected,Porphyromonas,6.55,2,249
249.2.11,Non-infected,Proteus,0.38,2,249
249.2.11,Non-infected,Ruminococcaceae.Family.,0.25,2,249
249.2.11,Non-infected,Rummeliibacillus,0.03,2,249
249.2.11,Non-infected,Solibacillus,0.19,2,249
249.2.11,Non-infected,Staphylococcus,1.43,2,249
249.2.11,Non-infected,Streptococcaceae.Family.,0.1,2,249
249.2.11,Non-infected,Weissella,0.03,2,249
249.2.14,Non-infected,Acinetobacter,0.29,2,249
249.2.14,Non-infected,Actinomyces,1.37,2,249
249.2.14,Non-infected,Actinomycetales.Order.,0.48,2,249
249.2.14,Non-infected,Aerococcaceae(Family),0.19,2,249
249.2.14,Non-infected,Aerococcus,10.22,2,249
249.2.14,Non-infected,Allobaculum,1.79,2,249
249.2.14,Non-infected,Anaerococcus,17.68,2,249
249.2.14,Non-infected,Arcanobacterium,0.78,2,249
249.2.14,Non-infected,Bacteroidales_S24-7(Family),0.08,2,249
249.2.14,Non-infected,Chlamydia,0,2,249
249.2.14,Non-infected,Clostridiaceae.otu1,0.74,2,249
249.2.14,Non-infected,Clostridiaceae(Family),5.4,2,249
249.2.14,Non-infected,Corynebacterium,15.35,2,249
249.2.14,Non-infected,Enterococcus,0.61,2,249
249.2.14,Non-infected,Erysipelotrichacea_PSB-M-3,0.23,2,249
249.2.14,Non-infected,Escherichia,0.06,2,249
249.2.14,Non-infected,Facklamia,4.33,2,249
249.2.14,Non-infected,Helcococcus,1.83,2,249
249.2.14,Non-infected,Other,13.4,2,249
249.2.14,Non-infected,Peptococcus,1.2,2,249
249.2.14,Non-infected,Peptoniphilus,11.35,2,249
249.2.14,Non-infected,Porphyromonadaceae.Family.,0.15,2,249
249.2.14,Non-infected,Porphyromonas,7.57,2,249
249.2.14,Non-infected,Proteus,0.36,2,249
249.2.14,Non-infected,Ruminococcaceae.Family.,0.15,2,249
249.2.14,Non-infected,Rummeliibacillus,0.23,2,249
249.2.14,Non-infected,Solibacillus,0.19,2,249
249.2.14,Non-infected,Staphylococcus,3.78,2,249
249.2.14,Non-infected,Streptococcaceae.Family.,0,2,249
249.2.14,Non-infected,Weissella,0.21,2,249
249.2.16,Non-infected,Acinetobacter,0.2,2,249
249.2.16,Non-infected,Actinomyces,3.1,2,249
249.2.16,Non-infected,Actinomycetales.Order.,0.2,2,249
249.2.16,Non-infected,Aerococcaceae(Family),0.37,2,249
249.2.16,Non-infected,Aerococcus,7.21,2,249
249.2.16,Non-infected,Allobaculum,2.71,2,249
249.2.16,Non-infected,Anaerococcus,10.75,2,249
249.2.16,Non-infected,Arcanobacterium,1.93,2,249
249.2.16,Non-infected,Bacteroidales_S24-7(Family),0.3,2,249
249.2.16,Non-infected,Chlamydia,0,2,249
249.2.16,Non-infected,Clostridiaceae.otu1,0.41,2,249
249.2.16,Non-infected,Clostridiaceae(Family),10.22,2,249
249.2.16,Non-infected,Corynebacterium,21.87,2,249
249.2.16,Non-infected,Enterococcus,0.13,2,249
249.2.16,Non-infected,Erysipelotrichacea_PSB-M-3,0.49,2,249
249.2.16,Non-infected,Escherichia,0,2,249
249.2.16,Non-infected,Facklamia,4.8,2,249
249.2.16,Non-infected,Helcococcus,1.64,2,249
249.2.16,Non-infected,Other,7.4,2,249
249.2.16,Non-infected,Peptococcus,1,2,249
249.2.16,Non-infected,Peptoniphilus,13.98,2,249
249.2.16,Non-infected,Porphyromonadaceae.Family.,0.28,2,249
249.2.16,Non-infected,Porphyromonas,5.01,2,249
249.2.16,Non-infected,Proteus,0.32,2,249
249.2.16,Non-infected,Ruminococcaceae.Family.,0.12,2,249
249.2.16,Non-infected,Rummeliibacillus,0.07,2,249
249.2.16,Non-infected,Solibacillus,0.25,2,249
249.2.16,Non-infected,Staphylococcus,5.13,2,249
249.2.16,Non-infected,Streptococcaceae.Family.,0.01,2,249
249.2.16,Non-infected,Weissella,0.13,2,249
253.1.02,Non-infected,Acinetobacter,1.99,1,253
253.1.02,Non-infected,Actinomyces,1.69,1,253
253.1.02,Non-infected,Actinomycetales.Order.,0.64,1,253
253.1.02,Non-infected,Aerococcaceae(Family),0.1,1,253
253.1.02,Non-infected,Aerococcus,2.43,1,253
253.1.02,Non-infected,Allobaculum,1.79,1,253
253.1.02,Non-infected,Anaerococcus,11.81,1,253
253.1.02,Non-infected,Arcanobacterium,2.33,1,253
253.1.02,Non-infected,Bacteroidales_S24-7(Family),0.07,1,253
253.1.02,Non-infected,Chlamydia,0,1,253
253.1.02,Non-infected,Clostridiaceae.otu1,0.44,1,253
253.1.02,Non-infected,Clostridiaceae(Family),0.88,1,253
253.1.02,Non-infected,Corynebacterium,15.15,1,253
253.1.02,Non-infected,Enterococcus,30.48,1,253
253.1.02,Non-infected,Erysipelotrichacea_PSB-M-3,0.03,1,253
253.1.02,Non-infected,Escherichia,0,1,253
253.1.02,Non-infected,Facklamia,10.33,1,253
253.1.02,Non-infected,Helcococcus,0.47,1,253
253.1.02,Non-infected,Other,9.4,1,253
253.1.02,Non-infected,Peptococcus,0.2,1,253
253.1.02,Non-infected,Peptoniphilus,4.79,1,253
253.1.02,Non-infected,Porphyromonadaceae.Family.,0,1,253
253.1.02,Non-infected,Porphyromonas,0.74,1,253
253.1.02,Non-infected,Proteus,0,1,253
253.1.02,Non-infected,Ruminococcaceae.Family.,0.03,1,253
253.1.02,Non-infected,Rummeliibacillus,3.1,1,253
253.1.02,Non-infected,Solibacillus,0.03,1,253
253.1.02,Non-infected,Staphylococcus,0.27,1,253
253.1.02,Non-infected,Streptococcaceae.Family.,0.34,1,253
253.1.02,Non-infected,Weissella,0.47,1,253
253.1.05,Non-infected,Acinetobacter,2.99,1,253
253.1.05,Non-infected,Actinomyces,2.5,1,253
253.1.05,Non-infected,Actinomycetales.Order.,0.38,1,253
253.1.05,Non-infected,Aerococcaceae(Family),0.56,1,253
253.1.05,Non-infected,Aerococcus,1.81,1,253
253.1.05,Non-infected,Allobaculum,2.75,1,253
253.1.05,Non-infected,Anaerococcus,6.12,1,253
253.1.05,Non-infected,Arcanobacterium,2.36,1,253
253.1.05,Non-infected,Bacteroidales_S24-7(Family),0.38,1,253
253.1.05,Non-infected,Chlamydia,0,1,253
253.1.05,Non-infected,Clostridiaceae.otu1,0.28,1,253
253.1.05,Non-infected,Clostridiaceae(Family),1.88,1,253
253.1.05,Non-infected,Corynebacterium,29.9,1,253
253.1.05,Non-infected,Enterococcus,19.61,1,253
253.1.05,Non-infected,Erysipelotrichacea_PSB-M-3,0.21,1,253
253.1.05,Non-infected,Escherichia,0.03,1,253
253.1.05,Non-infected,Facklamia,9.94,1,253
253.1.05,Non-infected,Helcococcus,0.45,1,253
253.1.05,Non-infected,Other,7.1,1,253
253.1.05,Non-infected,Peptococcus,0.3,1,253
253.1.05,Non-infected,Peptoniphilus,3.93,1,253
253.1.05,Non-infected,Porphyromonadaceae.Family.,0.24,1,253
253.1.05,Non-infected,Porphyromonas,1.01,1,253
253.1.05,Non-infected,Proteus,0.03,1,253
253.1.05,Non-infected,Ruminococcaceae.Family.,0.07,1,253
253.1.05,Non-infected,Rummeliibacillus,4.07,1,253
253.1.05,Non-infected,Solibacillus,0.03,1,253
253.1.05,Non-infected,Staphylococcus,0.38,1,253
253.1.05,Non-infected,Streptococcaceae.Family.,0.03,1,253
253.1.05,Non-infected,Weissella,0.63,1,253
253.1.08,Non-infected,Acinetobacter,0.19,1,253
253.1.08,Non-infected,Actinomyces,5.52,1,253
253.1.08,Non-infected,Actinomycetales.Order.,0.58,1,253
253.1.08,Non-infected,Aerococcaceae(Family),1.95,1,253
253.1.08,Non-infected,Aerococcus,1.04,1,253
253.1.08,Non-infected,Allobaculum,0.76,1,253
253.1.08,Non-infected,Anaerococcus,24.64,1,253
253.1.08,Non-infected,Arcanobacterium,1.14,1,253
253.1.08,Non-infected,Bacteroidales_S24-7(Family),0.03,1,253
253.1.08,Non-infected,Chlamydia,0,1,253
253.1.08,Non-infected,Clostridiaceae.otu1,2.22,1,253
253.1.08,Non-infected,Clostridiaceae(Family),11.3,1,253
253.1.08,Non-infected,Corynebacterium,7.61,1,253
253.1.08,Non-infected,Enterococcus,0.27,1,253
253.1.08,Non-infected,Erysipelotrichacea_PSB-M-3,0.16,1,253
253.1.08,Non-infected,Escherichia,0,1,253
253.1.08,Non-infected,Facklamia,10.15,1,253
253.1.08,Non-infected,Helcococcus,0.64,1,253
253.1.08,Non-infected,Other,6.8,1,253
253.1.08,Non-infected,Peptococcus,1.1,1,253
253.1.08,Non-infected,Peptoniphilus,15.85,1,253
253.1.08,Non-infected,Porphyromonadaceae.Family.,0.79,1,253
253.1.08,Non-infected,Porphyromonas,5.62,1,253
253.1.08,Non-infected,Proteus,1.46,1,253
253.1.08,Non-infected,Ruminococcaceae.Family.,0.08,1,253
253.1.08,Non-infected,Rummeliibacillus,0.04,1,253
253.1.08,Non-infected,Solibacillus,0.05,1,253
253.1.08,Non-infected,Staphylococcus,0.01,1,253
253.1.08,Non-infected,Streptococcaceae.Family.,0.01,1,253
253.1.08,Non-infected,Weissella,0,1,253
253.1.11,Non-infected,Acinetobacter,0.04,1,253
253.1.11,Non-infected,Actinomyces,2.3,1,253
253.1.11,Non-infected,Actinomycetales.Order.,2.95,1,253
253.1.11,Non-infected,Aerococcaceae(Family),0.03,1,253
253.1.11,Non-infected,Aerococcus,1.89,1,253
253.1.11,Non-infected,Allobaculum,6.89,1,253
253.1.11,Non-infected,Anaerococcus,4.97,1,253
253.1.11,Non-infected,Arcanobacterium,0.75,1,253
253.1.11,Non-infected,Bacteroidales_S24-7(Family),0.12,1,253
253.1.11,Non-infected,Chlamydia,0,1,253
253.1.11,Non-infected,Clostridiaceae.otu1,1.96,1,253
253.1.11,Non-infected,Clostridiaceae(Family),5.57,1,253
253.1.11,Non-infected,Corynebacterium,51.58,1,253
253.1.11,Non-infected,Enterococcus,0.38,1,253
253.1.11,Non-infected,Erysipelotrichacea_PSB-M-3,0.04,1,253
253.1.11,Non-infected,Escherichia,0.01,1,253
253.1.11,Non-infected,Facklamia,2.66,1,253
253.1.11,Non-infected,Helcococcus,0.44,1,253
253.1.11,Non-infected,Other,9.2,1,253
253.1.11,Non-infected,Peptococcus,0.2,1,253
253.1.11,Non-infected,Peptoniphilus,5.66,1,253
253.1.11,Non-infected,Porphyromonadaceae.Family.,0.33,1,253
253.1.11,Non-infected,Porphyromonas,1.23,1,253
253.1.11,Non-infected,Proteus,0.01,1,253
253.1.11,Non-infected,Ruminococcaceae.Family.,0.13,1,253
253.1.11,Non-infected,Rummeliibacillus,0.09,1,253
253.1.11,Non-infected,Solibacillus,0,1,253
253.1.11,Non-infected,Staphylococcus,0.45,1,253
253.1.11,Non-infected,Streptococcaceae.Family.,0,1,253
253.1.11,Non-infected,Weissella,0.1,1,253
253.1.14,Non-infected,Acinetobacter,0.23,1,253
253.1.14,Non-infected,Actinomyces,2.28,1,253
253.1.14,Non-infected,Actinomycetales.Order.,0.33,1,253
